,level_0,index,call_stack,all_func_names,num_calls,severity,exclusive_runtimes,TotalRuntimeSum(AllFunc),severity_trunc,sev_bin_upper_bound
0,0,628,3f7b17,hipLaunchKernel,1,1.0,1842523,,1.0,1.0
1,1,29,1ffd9d,"Grid::Grid_init(int*, char***) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/util/Init.cc} {289}]",1,0.6725200567483047,1239134,,0.67,0.7
2,2,635,de3a76,hipLaunchKernel,1,0.4599749690912781,847515,,0.45,0.5
3,3,609,03d855,"OpenMP_Parallel_Region void Grid::GridParallelRNG::fill<Grid::iScalar<Grid::iVector<Grid::iVector<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3>, 4> >, std::normal_distribution<double> >(Grid::Lattice<Grid::iScalar<Grid::iVector<Grid::iVector<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3>, 4> > >&, std::vector<std::normal_distribution<double>, std::allocator<std::normal_distribution<double> > >&) [{/autofs/nccs-svm1_home1/ckelly/bld/Grid_crusher_Xconj_PrgEnv-amd_TAUinst_select/HMC/Mobius2p1fIwasakiXconj3dirs_16I} {0, 0}]",5,0.4516570222770745,832189,,0.45,0.5
4,4,552,5be719,hipLaunchKernel,1,0.2258230837949289,416085,,0.22,0.3
5,5,63,5253f9,hipLaunchKernel,1,0.2239940689989047,412715,,0.22,0.3
6,6,64,8ceacb,hipLaunchKernel,1,0.2129982708483263,392455,,0.21,0.3
7,7,561,db8018,hipLaunchKernel,1,0.2101386035010708,387186,,0.21,0.3
8,8,576,0140e0,hipLaunchKernel,1,0.2041712392036567,376191,,0.2,0.3
9,9,1013,2e7437,"Grid::ConjugateGradientReliableUpdate<Grid::Lattice<Grid::iScalar<Grid::iVector<Grid::iVector<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3>, 4> > >, Grid::Lattice<Grid::iScalar<Grid::iVector<Grid::iVector<Grid::Grid_simd<thrust::complex<float>, Grid::GpuVector<8, Grid::GpuComplex<HIP_vector_type<float, 2u> > > >, 3>, 4> > >, 0, 0>::operator()(Grid::Lattice<Grid::iScalar<Grid::iVector<Grid::iVector<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3>, 4> > > const&, Grid::Lattice<Grid::iScalar<Grid::iVector<Grid::iVector<Grid::Grid_simd<thrust::complex<double>, Grid::GpuVector<4, Grid::GpuComplex<HIP_vector_type<double, 2u> > > >, 3>, 4> > >&) [{/autofs/nccs-svm1_home1/ckelly/src/Grid_crusher_Xconj/Grid/Grid/algorithms/iterative/ConjugateGradientReliableUpdate.h} {75}]",2,0.2035731459380132,375089,,0.2,0.3
